time,open,high,low,close,volume
1780828500000,0.08461,0.08482,0.08414,0.08459,2.8097449e+07
1780833600000,0.0846,0.085,0.0832,0.08465,1.10175481e+08
1780848000000,0.08465,0.08532,0.083,0.08336,8.4901544e+07
1780862400000,0.08335,0.08756,0.08313,0.08628,2.19660256e+08
1780876800000,0.08627,0.08682,0.08483,0.08592,1.33528517e+08
1780891200000,0.08593,0.086,0.08436,0.08566,9.0359934e+07
1780905600000,0.08566,0.08684,0.0849,0.0864,9.7384163e+07
1780920000000,0.0864,0.08747,0.0858,0.08698,1.22729705e+08
1780934400000,0.08699,0.08754,0.08615,0.0868,7.4410998e+07
1780948800000,0.08681,0.08749,0.08613,0.08634,6.088714e+07
1780963200000,0.08635,0.08649,0.08456,0.08531,1.49699348e+08
1780977600000,0.0853,0.08675,0.08506,0.08641,1.11184149e+08
1780992000000,0.08641,0.08645,0.08517,0.08553,7.4132743e+07
1781006400000,0.08552,0.08612,0.08407,0.0841,1.74054441e+08
1781020800000,0.0841,0.08548,0.08316,0.08521,1.66470225e+08
1781035200000,0.08521,0.08571,0.08445,0.08479,7.5921527e+07
1781049600000,0.08479,0.08515,0.08369,0.08395,4.677654e+07
1781064000000,0.08396,0.08437,0.08326,0.08422,5.0975487e+07
1781078400000,0.08423,0.08425,0.08282,0.0833,9.3203216e+07
1781092800000,0.08331,0.08547,0.08303,0.08513,1.64469171e+08
1781107200000,0.08514,0.08523,0.08303,0.08316,9.6729472e+07
1781121600000,0.08316,0.08331,0.08183,0.08294,9.1999158e+07
1781136000000,0.08295,0.08529,0.08295,0.08504,7.7435184e+07
1781150400000,0.08505,0.08544,0.0846,0.08488,9.6532435e+07
1781164800000,0.08487,0.08558,0.08478,0.08532,6.2162391e+07
1781179200000,0.08533,0.08545,0.08423,0.08494,1.05157196e+08
1781193600000,0.08495,0.08708,0.08441,0.08651,1.70714983e+08
1781208000000,0.08651,0.08673,0.08599,0.08608,6.0440833e+07
1781222400000,0.08608,0.08659,0.08561,0.08658,6.0036406e+07
1781236800000,0.08659,0.08746,0.08505,0.08596,2.25249762e+08
