time,open,high,low,close,volume
1788311400000,77230,77372,77230,77351.46,76.23249
1788311700000,77351.46,77351.46,77238,77319.41,35.76966
1788312000000,77319.4,77348,77285,77348,40.63592
1788312300000,77348,77348,77150,77150,72.35952
1788312600000,77150.01,77188,77076,77076,54.27639
1788312900000,77076.01,77076.01,76982.87,76982.88,42.41172
1788313200000,76982.88,77021.88,76848,76886.93,60.21892
1788313500000,76886.93,76974,76830,76830.01,68.40612
1788313800000,76830,76841.01,76718.48,76814.39,92.44986
1788314100000,76814.39,77044,76796.67,77020.68,64.47397
1788314400000,77020.67,77052,76964,76991.64,51.54788
1788314700000,76991.63,77210,76948.97,77064.1,63.00706
1788315000000,77064.1,77162,77044.4,77088.4,31.40109
1788315300000,77088.39,77195.66,77080.73,77151.88,38.2841
1788315600000,77151.87,77266,77151.87,77249.86,43.76363
1788315900000,77249.86,77343.74,77212.01,77325.48,48.03847
1788316200000,77325.47,77325.47,77224.91,77275.99,29.55539
1788316500000,77276,77288,77200,77219.75,29.33896
1788316800000,77219.75,77230,77171.51,77226,27.92243
1788317100000,77225.99,77260.22,77204,77238.75,18.12594
1788317400000,77238.76,77281.96,77236.19,77239.01,21.8067
1788317700000,77239.01,77329.2,77232.48,77329.2,34.3878
1788318000000,77329.2,77474.35,77314.51,77474.35,59.08426
1788318300000,77474.35,77503.75,77424,77435.6,53.53676
1788318600000,77435.6,77600,77435.59,77512,56.95188
1788318900000,77512,77654.34,77494,77564.01,51.37271
1788319200000,77564.01,77605.34,77526.2,77544.72,46.10359
1788319500000,77544.72,77792,77541.81,77660.56,117.76648
1788319800000,77660.56,77660.56,77525.21,77533.44,31.4911
1788320100000,77533.44,77652,77514,77652,30.82827
1788320400000,77652,77656.89,77520.02,77552,36.82986
1788320700000,77552,77640,77546,77640,47.60636
1788321000000,77640,77640,77548.66,77591.82,52.15828
1788321300000,77591.82,77601.11,77508.02,77563.5,34.64498
1788321600000,77563.5,77563.5,77490,77513.58,31.81551
1788321900000,77513.58,77513.59,77381.65,77381.65,42.76547
1788322200000,77381.66,77407.21,77359.99,77376.39,30.77752
1788322500000,77376.38,77404.06,77294.56,77404.05,25.44229
1788322800000,77404.06,77434,77374.77,77424.83,34.79762
1788323100000,77424.83,77446.64,77392,77431.27,25.70124
1788323400000,77431.27,77506.87,77431.27,77506.87,26.48037
1788323700000,77506.86,77540,77480,77540,16.71521
1788324000000,77540,77591.82,77512,77589.32,28.72539
1788324300000,77589.31,77612.84,77570.7,77584.62,20.45223
1788324600000,77584.63,77584.63,77550,77550,6.2732
1788324900000,77550,77568,77537.31,77561.82,9.98105
1788325200000,77561.82,77564.71,77466,77486.01,29.27818
1788325500000,77486.01,77495.59,77438,77479.98,14.00535
1788325800000,77479.97,77600.02,77477.15,77600.02,23.99304
1788326100000,77600.02,77733.46,77600.02,77656,50.9704
1788326400000,77656,77758,77653.88,77754.49,25.54591
1788326700000,77754.5,77761.93,77689.15,77744.78,21.38605
1788327000000,77744.78,77749.24,77676,77676.01,21.09698
1788327300000,77676,77708,77672.1,77684.76,14.45948
1788327600000,77684.76,77728.5,77679.11,77704.68,24.52285
1788327900000,77704.68,77756.51,77704.68,77756.51,15.04884
1788328200000,77756.51,77756.51,77700,77720,14.2217
1788328500000,77720,77725.74,77567.8,77651.07,87.29972
1788328800000,77651.08,77724,77651.08,77690.01,29.37944
1788329100000,77690.01,77708,77656.9,77694.51,24.45627
1788329400000,77694.51,77710.27,77576.51,77581.73,52.40407
1788329700000,77581.73,77646.68,77581.73,77592.04,21.67114
1788330000000,77592.05,77615.25,77572,77591.85,24.09859
1788330300000,77591.85,77666.9,77545.93,77545.93,26.88467
1788330600000,77545.94,77545.94,77462,77521.46,51.62319
1788330900000,77521.47,77551.77,77509.57,77538.94,29.0032
1788331200000,77538.94,77683.47,77538.93,77614,66.0826
1788331500000,77614.01,77620.01,77574.92,77597.06,32.82799
1788331800000,77597.07,77597.07,77517.56,77523.41,18.65807
1788332100000,77523.41,77611.54,77500,77611.54,19.96214
1788332400000,77611.53,77655.14,77607.64,77621.18,32.80113
1788332700000,77621.19,77646,77594,77646,25.27761
1788333000000,77646,77765.99,77645.99,77671,41.04641
1788333300000,77670.99,77671,77600.16,77630.88,29.34595
1788333600000,77630.88,77696.81,77626.27,77634,32.31246
1788333900000,77634.01,77634.01,77594,77598,20.72349
1788334200000,77598.01,77629.87,77560,77582.4,33.02522
1788334500000,77582.4,77601.76,77575.71,77600.93,45.15556
